               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.052386,             0.01565,                   0,             0.24113,             0.17485,             0.12398,            0.056964,             0.06858,            0.016035,                   0,           0.0098812,           0.0098812,           0.0098812
                  38,            0.052294,            0.015686,                   0,             0.19912,             0.18333,             0.12079,            0.061138,            0.065085,            0.017927,                   0,           0.0098779,           0.0098779,           0.0098779
                  39,            0.050071,            0.016897,                   0,             0.33334,             0.18333,             0.17853,            0.089586,            0.068293,            0.012884,                   0,           0.0098746,           0.0098746,           0.0098746
                  40,            0.051893,            0.016154,                   0,             0.41455,             0.28333,             0.22831,            0.093867,            0.065726,             0.01353,                   0,           0.0098713,           0.0098713,           0.0098713
                  41,            0.052961,             0.01485,                   0,            0.073021,             0.13333,            0.037736,             0.01222,            0.078929,            0.014904,                   0,            0.009868,            0.009868,            0.009868
                  42,            0.053507,             0.01463,                   0,            0.058607,                0.15,            0.039763,            0.018624,            0.073395,            0.016757,                   0,           0.0098647,           0.0098647,           0.0098647
                  43,             0.04965,            0.014858,                   0,             0.15756,             0.14963,            0.045715,             0.01634,            0.072016,             0.01434,                   0,           0.0098614,           0.0098614,           0.0098614
                  44,            0.050302,            0.014673,                   0,             0.66267,                0.25,             0.26856,            0.098573,            0.071724,            0.010705,                   0,           0.0098581,           0.0098581,           0.0098581
                  45,            0.053035,            0.015121,                   0,             0.34895,                0.05,            0.055475,             0.02738,            0.073325,            0.013361,                   0,           0.0098548,           0.0098548,           0.0098548
                  46,            0.053278,            0.013746,                   0,            0.011134,             0.23333,            0.010155,           0.0034564,            0.066836,             0.01407,                   0,           0.0098515,           0.0098515,           0.0098515
                  47,            0.049809,            0.016622,                   0,              0.5578,                0.35,             0.29976,             0.11617,            0.056891,            0.010209,                   0,           0.0098482,           0.0098482,           0.0098482
                  48,            0.049698,            0.015114,                   0,             0.54715,             0.30211,             0.33646,             0.14168,            0.052179,           0.0099974,                   0,           0.0098449,           0.0098449,           0.0098449
                  49,            0.047744,            0.014645,                   0,             0.63398,              0.3754,             0.33845,             0.15351,            0.055225,            0.010442,                   0,           0.0098416,           0.0098416,           0.0098416
                  50,            0.050514,            0.014227,                   0,             0.49279,                0.25,             0.21515,            0.088288,            0.057889,            0.011601,                   0,           0.0098383,           0.0098383,           0.0098383
                  51,            0.051111,            0.015639,                   0,             0.60867,             0.33333,             0.32266,             0.13403,            0.057138,            0.010453,                   0,            0.009835,            0.009835,            0.009835
                  52,            0.049222,            0.017511,                   0,             0.73297,             0.36601,             0.38886,             0.15217,            0.057573,           0.0097563,                   0,           0.0098317,           0.0098317,           0.0098317
                  53,            0.046828,             0.01425,                   0,             0.68444,              0.3977,             0.39238,             0.16309,            0.055253,            0.009656,                   0,           0.0098284,           0.0098284,           0.0098284
                  54,            0.045007,            0.015566,                   0,             0.75313,             0.30521,             0.38863,             0.16093,            0.056457,            0.010149,                   0,           0.0098251,           0.0098251,           0.0098251
                  55,            0.048496,            0.015152,                   0,             0.59136,             0.26535,             0.28654,             0.11806,            0.063252,            0.010212,                   0,           0.0098218,           0.0098218,           0.0098218
                  56,            0.048014,            0.015989,                   0,             0.46028,             0.21667,             0.26692,             0.11515,            0.059357,            0.011005,                   0,           0.0098185,           0.0098185,           0.0098185
                  57,            0.047145,            0.015145,                   0,             0.79126,                0.25,             0.31142,             0.14772,             0.06029,            0.010752,                   0,           0.0098152,           0.0098152,           0.0098152
                  58,             0.04709,            0.015413,                   0,             0.59699,             0.37041,             0.38236,             0.17764,            0.055926,           0.0097539,                   0,           0.0098119,           0.0098119,           0.0098119
                  59,            0.046183,              0.0129,                   0,             0.61923,                0.35,             0.38633,             0.19184,            0.052196,           0.0090842,                   0,           0.0098086,           0.0098086,           0.0098086
                  60,            0.042512,            0.012947,                   0,             0.75722,             0.43333,              0.4326,             0.23305,            0.051508,           0.0090656,                   0,           0.0098053,           0.0098053,           0.0098053
                  61,             0.04572,            0.012732,                   0,             0.60292,                 0.4,             0.41689,             0.23345,            0.053118,           0.0093443,                   0,            0.009802,            0.009802,            0.009802
                  62,            0.044051,            0.014362,                   0,              0.5812,                 0.3,             0.31365,             0.17922,            0.054296,            0.011376,                   0,           0.0097987,           0.0097987,           0.0097987
                  63,            0.044458,            0.014427,                   0,             0.69744,                0.15,             0.21406,             0.11327,              0.0632,            0.012815,                   0,           0.0097954,           0.0097954,           0.0097954
                  64,            0.041116,            0.013457,                   0,              0.3767,            0.083333,            0.080408,            0.038683,            0.067929,            0.014851,                   0,           0.0097921,           0.0097921,           0.0097921
                  65,            0.046146,            0.011617,                   0,             0.67868,                 0.2,             0.24863,             0.12672,            0.058414,            0.012144,                   0,           0.0097888,           0.0097888,           0.0097888
